pir_reading_id,device_id,motion,flag,measured_at,received_at,raw_payload
26536,3,True,ok,2026-09-03T14:13:44.562472+00:00,2026-09-03T14:13:44.754673+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26537,3,False,ok,2026-09-03T14:13:45.574369+00:00,2026-09-03T14:13:45.671334+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26538,3,False,ok,2026-09-03T14:13:46.592350+00:00,2026-09-03T14:13:46.679903+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26539,3,False,ok,2026-09-03T14:13:47.598363+00:00,2026-09-03T14:13:47.759639+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26540,3,True,ok,2026-09-03T14:13:48.610392+00:00,2026-09-03T14:13:48.844607+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26541,3,False,ok,2026-09-03T14:13:49.625360+00:00,2026-09-03T14:13:49.800255+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26542,3,False,ok,2026-09-03T14:13:50.705637+00:00,2026-09-03T14:13:50.919908+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26543,3,False,ok,2026-09-03T14:13:51.646373+00:00,2026-09-03T14:13:51.750355+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26544,3,False,ok,2026-09-03T14:13:52.660458+00:00,2026-09-03T14:13:52.834660+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26545,3,False,ok,2026-09-03T14:13:53.670566+00:00,2026-09-03T14:13:53.829915+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26546,3,False,ok,2026-09-03T14:13:54.682428+00:00,2026-09-03T14:13:54.859845+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26547,3,False,ok,2026-09-03T14:13:55.694441+00:00,2026-09-03T14:13:55.789525+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26548,3,False,ok,2026-09-03T14:13:56.706444+00:00,2026-09-03T14:13:56.794497+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26549,3,False,ok,2026-09-03T14:13:57.719512+00:00,2026-09-03T14:13:57.819821+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26550,3,False,ok,2026-09-03T14:13:58.730417+00:00,2026-09-03T14:13:58.899958+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26551,3,False,ok,2026-09-03T14:13:59.745574+00:00,2026-09-03T14:13:59.975029+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26552,3,False,ok,2026-09-03T14:14:00.947916+00:00,2026-09-03T14:14:01.171674+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26553,3,False,ok,2026-09-03T14:14:01.766446+00:00,2026-09-03T14:14:01.879721+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26554,3,False,ok,2026-09-03T14:14:02.778403+00:00,2026-09-03T14:14:02.949247+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26555,3,False,ok,2026-09-03T14:14:03.790449+00:00,2026-09-03T14:14:03.988644+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26556,3,False,ok,2026-09-03T14:14:04.802428+00:00,2026-09-03T14:14:04.981119+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26557,3,False,ok,2026-09-03T14:14:05.814321+00:00,2026-09-03T14:14:05.916079+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26558,3,False,ok,2026-09-03T14:14:06.826580+00:00,2026-09-03T14:14:06.929706+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26559,3,False,ok,2026-09-03T14:14:07.838141+00:00,2026-09-03T14:14:08.034657+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26560,3,False,ok,2026-09-03T14:14:08.855489+00:00,2026-09-03T14:14:09.030330+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26561,3,True,ok,2026-09-03T14:14:09.862700+00:00,2026-09-03T14:14:10.044629+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26562,3,False,ok,2026-09-03T14:14:10.874509+00:00,2026-09-03T14:14:11.089617+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26563,3,False,ok,2026-09-03T14:14:11.886526+00:00,2026-09-03T14:14:11.969530+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
