reading_id,device_id,temperature,humidity,co2,temp_flag,humidity_flag,co2_flag,measured_at,received_at,raw_payload
16454,1,24.30,73.38,780,ok,ok,ok,2026-09-03T14:24:49.431875+00:00,2026-09-03T14:24:49.520298+00:00,"{""co2_ppm"": 780, ""humidity_rh"": 73.38216, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.2977, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2567227, ""wifi_rssi"": -60}"
16457,1,24.33,73.39,778,ok,ok,ok,2026-09-03T14:24:54.471086+00:00,2026-09-03T14:24:54.569692+00:00,"{""co2_ppm"": 778, ""humidity_rh"": 73.38979, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.33242, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2572267, ""wifi_rssi"": -60}"
16460,1,24.32,73.40,777,ok,ok,ok,2026-09-03T14:24:59.510245+00:00,2026-09-03T14:24:59.595484+00:00,"{""co2_ppm"": 777, ""humidity_rh"": 73.39742, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31907, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2577307, ""wifi_rssi"": -59}"
16463,1,24.29,73.41,777,ok,ok,ok,2026-09-03T14:25:04.515441+00:00,2026-09-03T14:25:04.674750+00:00,"{""co2_ppm"": 777, ""humidity_rh"": 73.41268, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.29236, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2582309, ""wifi_rssi"": -65}"
16466,1,24.33,73.37,775,ok,ok,ok,2026-09-03T14:25:09.552986+00:00,2026-09-03T14:25:09.680150+00:00,"{""co2_ppm"": 775, ""humidity_rh"": 73.37301, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32975, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2587349, ""wifi_rssi"": -63}"
16469,1,24.33,73.39,776,ok,ok,ok,2026-09-03T14:25:14.593280+00:00,2026-09-03T14:25:14.694623+00:00,"{""co2_ppm"": 776, ""humidity_rh"": 73.39132, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32975, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2592389, ""wifi_rssi"": -66}"
16472,1,24.31,73.43,775,ok,ok,ok,2026-09-03T14:25:19.633243+00:00,2026-09-03T14:25:19.729659+00:00,"{""co2_ppm"": 775, ""humidity_rh"": 73.42947, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31105, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2597429, ""wifi_rssi"": -65}"
16475,1,24.32,73.42,775,ok,ok,ok,2026-09-03T14:25:24.673692+00:00,2026-09-03T14:25:24.794692+00:00,"{""co2_ppm"": 775, ""humidity_rh"": 73.41573, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31907, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2602469, ""wifi_rssi"": -70}"
16478,1,24.33,73.46,774,ok,ok,ok,2026-09-03T14:25:29.714742+00:00,2026-09-03T14:25:29.899769+00:00,"{""co2_ppm"": 774, ""humidity_rh"": 73.45541, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32708, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2607509, ""wifi_rssi"": -66}"
16481,1,24.32,73.42,775,ok,ok,ok,2026-09-03T14:25:34.727733+00:00,2026-09-03T14:25:34.939667+00:00,"{""co2_ppm"": 775, ""humidity_rh"": 73.41726, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.3164, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2612511, ""wifi_rssi"": -71}"
16484,1,24.33,73.44,776,ok,ok,ok,2026-09-03T14:25:39.757494+00:00,2026-09-03T14:25:39.959608+00:00,"{""co2_ppm"": 776, ""humidity_rh"": 73.4432, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.33242, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2617551, ""wifi_rssi"": -67}"
16487,1,24.32,73.44,777,ok,ok,ok,2026-09-03T14:25:44.797993+00:00,2026-09-03T14:25:44.889492+00:00,"{""co2_ppm"": 777, ""humidity_rh"": 73.43557, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.3164, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2622591, ""wifi_rssi"": -67}"
16490,1,24.34,73.47,777,ok,ok,ok,2026-09-03T14:25:49.835830+00:00,2026-09-03T14:25:49.929521+00:00,"{""co2_ppm"": 777, ""humidity_rh"": 73.46914, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.33509, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2627631, ""wifi_rssi"": -70}"
16493,1,24.31,73.46,778,ok,ok,ok,2026-09-03T14:25:54.875577+00:00,2026-09-03T14:25:54.964657+00:00,"{""co2_ppm"": 778, ""humidity_rh"": 73.45846, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.30571, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2632671, ""wifi_rssi"": -66}"
16496,1,24.33,73.46,777,ok,ok,ok,2026-09-03T14:25:59.915092+00:00,2026-09-03T14:25:59.994533+00:00,"{""co2_ppm"": 777, ""humidity_rh"": 73.45541, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32708, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2637711, ""wifi_rssi"": -70}"
16499,1,24.32,73.47,777,ok,ok,ok,2026-09-03T14:26:04.916779+00:00,2026-09-03T14:26:05.074496+00:00,"{""co2_ppm"": 777, ""humidity_rh"": 73.47066, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.3164, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2642713, ""wifi_rssi"": -65}"
16502,1,24.33,73.48,777,ok,ok,ok,2026-09-03T14:26:09.956965+00:00,2026-09-03T14:26:10.049530+00:00,"{""co2_ppm"": 777, ""humidity_rh"": 73.47982, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.33242, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2647753, ""wifi_rssi"": -66}"
16505,1,24.31,73.47,777,ok,ok,ok,2026-09-03T14:26:14.995522+00:00,2026-09-03T14:26:15.204674+00:00,"{""co2_ppm"": 777, ""humidity_rh"": 73.47372, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31105, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2652793, ""wifi_rssi"": -63}"
16508,1,24.32,73.49,777,ok,ok,ok,2026-09-03T14:26:20.036376+00:00,2026-09-03T14:26:20.224594+00:00,"{""co2_ppm"": 777, ""humidity_rh"": 73.48745, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31907, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2657833, ""wifi_rssi"": -65}"
16511,1,24.33,73.51,778,ok,ok,ok,2026-09-03T14:26:25.079402+00:00,2026-09-03T14:26:25.174627+00:00,"{""co2_ppm"": 778, ""humidity_rh"": 73.50881, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32975, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2662873, ""wifi_rssi"": -68}"
