door_reading_id,device_id,door_state,flag,measured_at,received_at,raw_payload
26524,3,closed,ok,2026-09-03T14:13:32.418885+00:00,2026-09-03T14:13:32.754527+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26525,3,closed,ok,2026-09-03T14:13:33.434572+00:00,2026-09-03T14:13:33.825567+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26526,3,closed,ok,2026-09-03T14:13:34.442254+00:00,2026-09-03T14:13:34.714522+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26527,3,closed,ok,2026-09-03T14:13:35.454440+00:00,2026-09-03T14:13:35.624867+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26528,3,closed,ok,2026-09-03T14:13:36.468594+00:00,2026-09-03T14:13:36.659954+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26529,3,closed,ok,2026-09-03T14:13:37.483156+00:00,2026-09-03T14:13:37.644841+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26530,3,closed,ok,2026-09-03T14:13:38.517331+00:00,2026-09-03T14:13:38.789633+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26531,3,closed,ok,2026-09-03T14:13:39.531213+00:00,2026-09-03T14:13:39.834575+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26532,3,closed,ok,2026-09-03T14:13:40.682864+00:00,2026-09-03T14:13:41.074504+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26533,3,closed,ok,2026-09-03T14:13:41.527107+00:00,2026-09-03T14:13:41.860017+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26534,3,closed,ok,2026-09-03T14:13:42.538328+00:00,2026-09-03T14:13:42.789550+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26535,3,closed,ok,2026-09-03T14:13:43.559045+00:00,2026-09-03T14:13:43.894661+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26536,3,closed,ok,2026-09-03T14:13:44.562472+00:00,2026-09-03T14:13:44.829680+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26537,3,closed,ok,2026-09-03T14:13:45.574369+00:00,2026-09-03T14:13:45.764672+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26538,3,closed,ok,2026-09-03T14:13:46.592350+00:00,2026-09-03T14:13:46.774560+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26539,3,closed,ok,2026-09-03T14:13:47.598363+00:00,2026-09-03T14:13:47.919718+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26540,3,closed,ok,2026-09-03T14:13:48.610392+00:00,2026-09-03T14:13:48.981390+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26541,3,closed,ok,2026-09-03T14:13:49.625360+00:00,2026-09-03T14:13:49.975449+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26542,3,closed,ok,2026-09-03T14:13:50.705637+00:00,2026-09-03T14:13:51.084922+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26543,3,closed,ok,2026-09-03T14:13:51.646373+00:00,2026-09-03T14:13:51.845244+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26544,3,closed,ok,2026-09-03T14:13:52.660458+00:00,2026-09-03T14:13:52.989538+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26545,3,closed,ok,2026-09-03T14:13:53.670566+00:00,2026-09-03T14:13:53.984720+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26546,3,closed,ok,2026-09-03T14:13:54.682428+00:00,2026-09-03T14:13:55.024529+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26547,3,closed,ok,2026-09-03T14:13:55.694441+00:00,2026-09-03T14:13:55.864711+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26548,3,closed,ok,2026-09-03T14:13:56.706444+00:00,2026-09-03T14:13:56.869633+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26549,3,closed,ok,2026-09-03T14:13:57.719512+00:00,2026-09-03T14:13:57.900261+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26550,3,closed,ok,2026-09-03T14:13:58.730417+00:00,2026-09-03T14:13:59.059885+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26551,3,closed,ok,2026-09-03T14:13:59.745574+00:00,2026-09-03T14:14:00.130180+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26552,3,closed,ok,2026-09-03T14:14:00.947916+00:00,2026-09-03T14:14:01.340803+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26553,3,closed,ok,2026-09-03T14:14:01.766446+00:00,2026-09-03T14:14:01.954743+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26554,3,closed,ok,2026-09-03T14:14:02.778403+00:00,2026-09-03T14:14:03.030877+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26555,3,closed,ok,2026-09-03T14:14:03.790449+00:00,2026-09-03T14:14:04.110157+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26556,3,closed,ok,2026-09-03T14:14:04.802428+00:00,2026-09-03T14:14:05.134772+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26557,3,closed,ok,2026-09-03T14:14:05.814321+00:00,2026-09-03T14:14:05.999925+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
